Title,Number of SAG Nominations,Number of SAG Wins
Gisaengchung (Parasite),1,1
Marriage Story,3,1
Us,1,0
Avengers: Endgame,1,1
A Star Is Born,4,0
Black Panther,14,14
Crazy Rich Asians,8,0
A Quiet Place,1,1
Ant-Man and the Wasp,1,0
Avengers: Infinity War,1,0
Mission: Impossible - Fallout,1,0
Get Out,10,0
The Big Sick,9,0
Baby Driver,1,0
Logan,1,0
War for the Planet of the Apes,1,0
Moonlight,10,1
Arrival,1,0
La La Land,2,1
Lion,2,0
Hell or High Water,1,0
Captain America: Civil War,1,0
Doctor Strange,1,0
Jason Bourne,1,0
Nocturnal Animals,1,0
The Big Short,14,0
Room,3,1
Fast & Furious 7,1,0
Jurassic World,1,0
Mad Max: Fury Road,1,1
Birdman or (The Unexpected Virtue of Ignorance),11,8
Boyhood,7,0
Gone Girl,1,0
Nightcrawler,1,0
Whiplash,1,1
Captain Phillips,2,0
Fast & Furious 6,1,0
The Wolverine,1,0
Nomadland,1,0
Promising Young Woman,1,0
The Father,2,0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,1,0
CODA,2,2
Don't Look Up,1,0
Black Widow,1,0
No Time to Die,1,1
Shang-Chi and the Legend of the Ten Rings,1,0